season,ccode,played,won,drawn,lost,scored,conceded,goal_diff,points,league_position
2023_2024,MCI,38,28,7,3,96,34,62,91,1
2023_2024,ARS,38,28,5,5,91,29,62,89,2
2023_2024,LIV,38,24,10,4,86,41,45,82,3
2023_2024,AVL,38,20,8,10,76,61,15,68,4
2023_2024,TOT,38,20,6,12,74,61,13,66,5
2023_2024,CHE,38,18,9,11,77,63,14,63,6
2023_2024,NEW,38,18,6,14,85,62,23,60,7
2023_2024,MUN,38,18,6,14,57,58,-1,60,8
2023_2024,WHU,38,14,10,14,60,74,-14,52,9
2023_2024,CRY,38,13,10,15,57,58,-1,49,10
2023_2024,BHA,38,12,12,14,55,62,-7,48,11
2023_2024,EVE,38,13,9,16,40,51,-11,48,12
2023_2024,BOU,38,13,9,16,54,67,-13,48,13
2023_2024,FUL,38,13,8,17,55,61,-6,47,14
2023_2024,WOL,38,13,7,18,50,65,-15,46,15
2023_2024,BRE,38,10,9,19,56,65,-9,39,16
2023_2024,NFO,38,9,9,20,49,67,-18,36,17
2023_2024,LUT,38,6,8,24,52,85,-33,26,18
2023_2024,BUR,38,5,9,24,41,78,-37,24,19
2023_2024,SHU,38,3,7,28,35,104,-69,16,20
2022_2023,LIV,38,19,10,9,75,47,28,67,5
2022_2023,BHA,38,18,8,12,72,53,19,62,6
2022_2023,AVL,38,18,7,13,51,46,5,61,7
2022_2023,TOT,38,18,6,14,70,63,7,60,8
2022_2023,BRE,38,15,14,9,58,46,12,59,9
2022_2023,FUL,38,15,7,16,55,53,2,52,10
2022_2023,CRY,38,11,12,15,40,49,-9,45,11
2022_2023,CHE,38,11,11,16,38,47,-9,44,12
2022_2023,WOL,38,11,8,19,31,58,-27,41,13
2022_2023,WHU,38,11,7,20,42,55,-13,40,14
2022_2023,BOU,38,11,6,21,37,71,-34,39,15
2022_2023,NFO,38,9,11,18,38,68,-30,38,16
2022_2023,EVE,38,8,12,18,34,57,-23,36,17
2022_2023,LEI,38,9,7,22,51,68,-17,34,18
2022_2023,LEE,38,7,10,21,48,78,-30,31,19
2022_2023,SOU,38,6,7,25,36,73,-37,25,20
2022_2023,MCI,38,28,5,5,94,33,61,89,1
2022_2023,ARS,38,26,6,6,88,43,45,84,2
2022_2023,MUN,38,23,6,9,58,43,15,75,3
2022_2023,NEW,38,19,14,5,68,33,35,71,4
2021_2022,MCI,38,28,5,5,94,33,61,89,1
2021_2022,ARS,38,26,6,6,88,43,45,84,2
2021_2022,MUN,38,23,6,9,58,43,15,75,3
2021_2022,NEW,38,19,14,5,68,33,35,71,4
2021_2022,LIV,38,19,10,9,75,47,28,67,5
2021_2022,BHA,38,18,8,12,72,53,19,62,6
2021_2022,AVL,38,18,7,13,51,46,5,61,7
2021_2022,TOT,38,18,6,14,70,63,7,60,8
2021_2022,BRE,38,15,14,9,58,46,12,59,9
2021_2022,FUL,38,15,7,16,55,53,2,52,10
2021_2022,CRY,38,11,12,15,40,49,-9,45,11
2021_2022,CHE,38,11,11,16,38,47,-9,44,12
2021_2022,WOL,38,11,8,19,31,58,-27,41,13
2021_2022,WHU,38,11,7,20,42,55,-13,40,14
2021_2022,BOU,38,11,6,21,37,71,-34,39,15
2021_2022,NFO,38,9,11,18,38,68,-30,38,16
2021_2022,EVE,38,8,12,18,34,57,-23,36,17
2021_2022,LEI,38,9,7,22,51,68,-17,34,18
2021_2022,LEE,38,7,10,21,48,78,-30,31,19
2021_2022,SOU,38,6,7,25,36,73,-37,25,20
2020_2021,MCI,38,27,5,6,83,32,51,86,1
2020_2021,MUN,38,21,11,6,73,44,29,74,2
2020_2021,LIV,38,20,9,9,68,42,26,69,3
2020_2021,CHE,38,19,10,9,58,36,22,67,4
2020_2021,LEI,38,20,6,12,68,50,18,66,5
2020_2021,WHU,38,19,8,11,62,47,15,65,6
2020_2021,TOT,38,18,8,12,68,45,23,62,7
2020_2021,ARS,38,18,7,13,55,39,16,61,8
2020_2021,LEE,38,18,5,15,62,54,8,59,9
2020_2021,EVE,38,17,8,13,47,48,-1,59,10
2020_2021,AVL,38,16,7,15,55,46,9,55,11
2020_2021,WOL,38,12,9,17,36,52,-16,45,12
2020_2021,NEW,38,12,9,17,46,62,-16,45,13
2020_2021,CRY,38,12,8,18,41,66,-25,44,14
2020_2021,SOU,38,12,7,19,47,68,-21,43,15
2020_2021,BHA,38,9,14,15,40,46,-6,41,16
2020_2021,BUR,38,10,9,19,33,55,-22,39,17
2020_2021,FUL,38,5,13,20,27,53,-26,28,18
2020_2021,WBA,38,5,11,22,35,76,-41,26,19
2020_2021,SHU,38,7,2,29,20,63,-43,23,20
2019_2020,LIV,38,32,3,3,85,33,52,99,1
2019_2020,MCI,38,26,3,9,102,35,67,81,2
2019_2020,MUN,38,18,12,8,66,36,30,66,3
2019_2020,CHE,38,20,6,12,69,54,15,66,4
2019_2020,LEI,38,18,8,12,67,41,26,62,5
2019_2020,TOT,38,16,11,11,61,47,14,59,6
2019_2020,WOL,38,15,14,9,51,40,11,59,7
2019_2020,ARS,38,14,14,10,56,48,8,56,8
2019_2020,SHU,38,14,12,12,39,39,0,54,9
2019_2020,BUR,38,15,9,14,43,50,-7,54,10
2019_2020,SOU,38,15,7,16,51,60,-9,52,11
2019_2020,EVE,38,13,10,15,44,56,-12,49,12
2019_2020,NEW,38,11,11,16,38,58,-20,44,13
2019_2020,CRY,38,11,10,17,31,50,-19,43,14
2019_2020,BHA,38,9,14,15,39,54,-15,41,15
2019_2020,WHU,38,10,9,19,49,62,-13,39,16
2019_2020,AVL,38,9,8,21,41,67,-26,35,17
2019_2020,BOU,38,9,7,22,40,65,-25,34,18
2019_2020,WAT,38,8,10,20,36,64,-28,34,19
2019_2020,NOR,38,5,6,27,26,75,-49,21,20
2018_2019,SOU,38,9,12,17,45,65,-20,39,16
2018_2019,BHA,38,9,9,20,35,60,-25,36,17
2018_2019,CAR,38,10,4,24,34,69,-35,34,18
2018_2019,FUL,38,7,5,26,34,81,-47,26,19
2018_2019,HUD,38,3,7,28,22,76,-54,16,20
2018_2019,MCI,38,32,2,4,95,23,72,98,1
2018_2019,LIV,38,30,7,1,89,22,67,97,2
2018_2019,CHE,38,21,9,8,63,39,24,72,3
2018_2019,TOT,38,23,2,13,67,39,28,71,4
2018_2019,ARS,38,21,7,10,73,51,22,70,5
2018_2019,MUN,38,19,9,10,65,54,11,66,6
2018_2019,WOL,38,16,9,13,47,46,1,57,7
2018_2019,EVE,38,15,9,14,54,46,8,54,8
2018_2019,LEI,38,15,7,16,51,48,3,52,9
2018_2019,WHU,38,15,7,16,52,55,-3,52,10
2018_2019,WAT,38,14,8,16,52,59,-7,50,11
2018_2019,CRY,38,14,7,17,51,53,-2,49,12
2018_2019,NEW,38,12,9,17,42,48,-6,45,13
2018_2019,BOU,38,13,6,19,56,70,-14,45,14
2018_2019,BUR,38,11,7,20,45,68,-23,40,15
2017_2018,WHU,38,10,12,16,48,68,-20,42,13
2017_2018,WAT,38,11,8,19,44,64,-20,41,14
2017_2018,BHA,38,9,13,16,34,54,-20,40,15
2017_2018,HUD,38,9,10,19,28,58,-30,37,16
2017_2018,SOU,38,7,15,16,37,56,-19,36,17
2017_2018,SWA,38,8,9,21,28,56,-28,33,18
2017_2018,STK,38,7,12,19,35,68,-33,33,19
2017_2018,WBA,38,6,13,19,31,56,-25,31,20
2017_2018,MCI,38,32,4,2,106,27,79,100,1
2017_2018,MUN,38,25,6,7,68,28,40,81,2
2017_2018,TOT,38,23,8,7,74,36,38,77,3
2017_2018,LIV,38,21,12,5,84,38,46,75,4
2017_2018,CHE,38,21,7,10,62,38,24,70,5
2017_2018,ARS,38,19,6,13,74,51,23,63,6
2017_2018,BUR,38,14,12,12,36,39,-3,54,7
2017_2018,EVE,38,13,10,15,44,58,-14,49,8
2017_2018,LEI,38,12,11,15,56,60,-4,47,9
2017_2018,NEW,38,12,8,18,39,47,-8,44,10
2017_2018,CRY,38,11,11,16,45,55,-10,44,11
2017_2018,BOU,38,11,11,16,45,61,-16,44,12
2016_2017,CHE,38,30,3,5,85,33,52,93,1
2016_2017,TOT,38,26,8,4,86,26,60,86,2
2016_2017,MCI,38,23,9,6,80,39,41,78,3
2016_2017,LIV,38,22,10,6,78,42,36,76,4
2016_2017,ARS,38,23,6,9,77,44,33,75,5
2016_2017,MUN,38,18,15,5,54,29,25,69,6
2016_2017,EVE,38,17,10,11,62,44,18,61,7
2016_2017,SOU,38,12,10,16,41,48,-7,46,8
2016_2017,BOU,38,12,10,16,55,67,-12,46,9
2016_2017,WBA,38,12,9,17,43,51,-8,45,10
2016_2017,WHU,38,12,9,17,47,64,-17,45,11
2016_2017,STK,38,11,11,16,41,56,-15,44,12
2016_2017,LEI,38,12,8,18,48,63,-15,44,13
2016_2017,CRY,38,12,5,21,50,63,-13,41,14
2016_2017,SWA,38,12,5,21,45,70,-25,41,15
2016_2017,BUR,38,11,7,20,39,55,-16,40,16
2016_2017,WAT,38,11,7,20,40,68,-28,40,17
2016_2017,HUL,38,9,7,22,37,80,-43,34,18
2016_2017,MID,38,5,13,20,27,53,-26,28,19
2016_2017,SUN,38,6,6,26,29,69,-40,24,20
2015_2016,LEI,38,23,12,3,68,36,32,81,1
2015_2016,ARS,38,20,11,7,65,36,29,71,2
2015_2016,TOT,38,19,13,6,69,35,34,70,3
2015_2016,MCI,38,19,9,10,71,41,30,66,4
2015_2016,MUN,38,19,9,10,49,35,14,66,5
2015_2016,SOU,38,18,9,11,59,41,18,63,6
2015_2016,WHU,38,16,14,8,65,51,14,62,7
2015_2016,LIV,38,16,12,10,63,50,13,60,8
2015_2016,STK,38,14,9,15,41,55,-14,51,9
2015_2016,CHE,38,12,14,12,59,53,6,50,10
2015_2016,EVE,38,11,14,13,59,55,4,47,11
2015_2016,SWA,38,12,11,15,42,52,-10,47,12
2015_2016,WAT,38,12,9,17,40,50,-10,45,13
2015_2016,WBA,38,10,13,15,34,48,-14,43,14
2015_2016,CRY,38,11,9,18,39,51,-12,42,15
2015_2016,BOU,38,11,9,18,45,67,-22,42,16
2015_2016,SUN,38,9,12,17,48,62,-14,39,17
2015_2016,NEW,38,9,10,19,44,65,-21,37,18
2015_2016,NOR,38,9,7,22,39,67,-28,34,19
2015_2016,AVL,38,3,8,27,27,76,-49,17,20
2014_2015,CHE,38,26,9,3,73,32,41,87,1
2014_2015,MCI,38,24,7,7,83,38,45,79,2
2014_2015,ARS,38,22,9,7,71,36,35,75,3
2014_2015,MUN,38,20,10,8,62,37,25,70,4
2014_2015,TOT,38,19,7,12,58,53,5,64,5
2014_2015,LIV,38,18,8,12,52,48,4,62,6
2014_2015,SOU,38,18,6,14,54,33,21,60,7
2014_2015,SWA,38,16,8,14,46,49,-3,56,8
2014_2015,STK,38,15,9,14,48,45,3,54,9
2014_2015,CRY,38,13,9,16,47,51,-4,48,10
2014_2015,EVE,38,12,11,15,48,50,-2,47,11
2014_2015,WHU,38,12,11,15,44,47,-3,47,12
2014_2015,WBA,38,11,11,16,38,51,-13,44,13
2014_2015,LEI,38,11,8,19,46,55,-9,41,14
2014_2015,NEW,38,10,9,19,40,63,-23,39,15
2014_2015,SUN,38,7,17,14,31,53,-22,38,16
2014_2015,AVL,38,10,8,20,31,57,-26,38,17
2014_2015,HUL,38,8,11,19,33,51,-18,35,18
2014_2015,BUR,38,7,12,19,28,53,-25,33,19
2014_2015,QPR,38,8,6,24,42,73,-31,30,20
2013_2014,MCI,38,27,5,6,102,37,65,86,1
2013_2014,LIV,38,26,6,6,101,50,51,84,2
2013_2014,CHE,38,25,7,6,71,27,44,82,3
2013_2014,ARS,38,24,7,7,68,41,27,79,4
2013_2014,EVE,38,21,9,8,61,39,22,72,5
2013_2014,TOT,38,21,6,11,55,51,4,69,6
2013_2014,MUN,38,19,7,12,64,43,21,64,7
2013_2014,SOU,38,15,11,12,54,46,8,56,8
2013_2014,STK,38,13,11,14,45,52,-7,50,9
2013_2014,NEW,38,15,4,19,43,59,-16,49,10
2013_2014,CRY,38,13,6,19,33,48,-15,45,11
2013_2014,SWA,38,11,9,18,54,54,0,42,12
2013_2014,WHU,38,11,7,20,40,51,-11,40,13
2013_2014,SUN,38,10,8,20,41,60,-19,38,14
2013_2014,AVL,38,10,8,20,39,61,-22,38,15
2013_2014,HUL,38,10,7,21,38,53,-15,37,16
2013_2014,WBA,38,7,15,16,43,59,-16,36,17
2013_2014,NOR,38,8,9,21,28,62,-34,33,18
2013_2014,FUL,38,9,5,24,40,85,-45,32,19
2013_2014,CAR,38,7,9,22,32,74,-42,30,20
2012_2013,MUN,38,28,5,5,86,43,43,89,1
2012_2013,MCI,38,23,9,6,66,34,32,78,2
2012_2013,CHE,38,22,9,7,75,39,36,75,3
2012_2013,ARS,38,21,10,7,72,37,35,73,4
2012_2013,TOT,38,21,9,8,66,46,20,72,5
2012_2013,EVE,38,16,15,7,55,40,15,63,6
2012_2013,LIV,38,16,13,9,71,43,28,61,7
2012_2013,WBA,38,14,7,17,53,57,-4,49,8
2012_2013,SWA,38,11,13,14,47,51,-4,46,9
2012_2013,WHU,38,12,10,16,45,53,-8,46,10
2012_2013,NOR,38,10,14,14,41,58,-17,44,11
2012_2013,FUL,38,11,10,17,50,60,-10,43,12
2012_2013,STK,38,9,15,14,34,45,-11,42,13
2012_2013,SOU,38,9,14,15,49,60,-11,41,14
2012_2013,AVL,38,10,11,17,47,69,-22,41,15
2012_2013,NEW,38,11,8,19,45,68,-23,41,16
2012_2013,SUN,38,9,12,17,41,54,-13,39,17
2012_2013,WIG,38,9,9,20,47,73,-26,36,18
2012_2013,REA,38,6,10,22,43,73,-30,28,19
2012_2013,QPR,38,4,13,21,30,60,-30,25,20
2011_2012,MCI,38,28,5,5,93,29,64,89,1
2011_2012,MUN,38,28,5,5,89,33,56,89,2
2011_2012,ARS,38,21,7,10,74,49,25,70,3
2011_2012,TOT,38,20,9,9,66,41,25,69,4
2011_2012,NEW,38,19,8,11,56,51,5,65,5
2011_2012,CHE,38,18,10,10,65,46,19,64,6
2011_2012,EVE,38,15,11,12,50,40,10,56,7
2011_2012,LIV,38,14,10,14,47,40,7,52,8
2011_2012,FUL,38,14,10,14,48,51,-3,52,9
2011_2012,SWA,38,12,11,15,44,51,-7,47,10
2011_2012,WBA,38,13,8,17,45,52,-7,47,11
2011_2012,NOR,38,12,11,15,52,66,-14,47,12
2011_2012,SUN,38,11,12,15,45,46,-1,45,13
2011_2012,STK,38,11,12,15,36,53,-17,45,14
2011_2012,WIG,38,11,10,17,42,62,-20,43,15
2011_2012,AVL,38,7,17,14,37,53,-16,38,16
2011_2012,QPR,38,10,7,21,43,66,-23,37,17
2011_2012,BOL,38,10,6,22,46,77,-31,36,18
2011_2012,BLB,38,8,7,23,48,78,-30,31,19
2011_2012,WOL,38,5,10,23,40,82,-42,25,20
2010_2011,MUN,38,23,11,4,78,37,41,80,1
2010_2011,CHE,38,21,8,9,69,33,36,71,2
2010_2011,MCI,38,21,8,9,60,33,27,71,3
2010_2011,ARS,38,19,11,8,72,43,29,68,4
2010_2011,TOT,38,16,14,8,55,46,9,62,5
2010_2011,LIV,38,17,7,14,59,44,15,58,6
2010_2011,EVE,38,13,15,10,51,45,6,54,7
2010_2011,FUL,38,11,16,11,49,43,6,49,8
2010_2011,AVL,38,12,12,14,48,59,-11,48,9
2010_2011,SUN,38,12,11,15,45,56,-11,47,10
2010_2011,WBA,38,12,11,15,56,71,-15,47,11
2010_2011,NEW,38,11,13,14,56,57,-1,46,12
2010_2011,STK,38,13,7,18,46,48,-2,46,13
2010_2011,BOL,38,12,10,16,52,56,-4,46,14
2010_2011,BLB,38,11,10,17,46,59,-13,43,15
2010_2011,WIG,38,9,15,14,40,61,-21,42,16
2010_2011,WOL,38,11,7,20,46,66,-20,40,17
2010_2011,BIR,38,8,15,15,37,58,-21,39,18
2010_2011,BLP,38,10,9,19,55,78,-23,39,19
2010_2011,WHU,38,7,12,19,43,70,-27,33,20
2009_2010,CHE,38,27,5,6,103,32,71,86,1
2009_2010,MUN,38,27,4,7,86,28,58,85,2
2009_2010,ARS,38,23,6,9,83,41,42,75,3
2009_2010,TOT,38,21,7,10,67,41,26,70,4
2009_2010,MCI,38,18,13,7,73,45,28,67,5
2009_2010,AVL,38,17,13,8,52,39,13,64,6
2009_2010,LIV,38,18,9,11,61,35,26,63,7
2009_2010,EVE,38,16,13,9,60,49,11,61,8
2009_2010,BIR,38,13,11,14,38,47,-9,50,9
2009_2010,BLB,38,13,11,14,41,55,-14,50,10
2009_2010,STK,38,11,14,13,34,48,-14,47,11
2009_2010,FUL,38,12,10,16,39,46,-7,46,12
2009_2010,SUN,38,11,11,16,48,56,-8,44,13
2009_2010,BOL,38,10,9,19,42,67,-25,39,14
2009_2010,WOL,38,9,11,18,32,56,-24,38,15
2009_2010,WIG,38,9,9,20,37,79,-42,36,16
2009_2010,WHU,38,8,11,19,47,66,-19,35,17
2009_2010,BUR,38,8,6,24,42,82,-40,30,18
2009_2010,HUL,38,6,12,20,34,75,-41,30,19
2009_2010,POR,38,7,7,24,34,66,-32,28,20
2008_2009,MUN,38,28,6,4,68,24,44,90,1
2008_2009,LIV,38,25,11,2,77,27,50,86,2
2008_2009,CHE,38,25,8,5,68,24,44,83,3
2008_2009,ARS,38,20,12,6,68,37,31,72,4
2008_2009,EVE,38,17,12,9,55,37,18,63,5
2008_2009,AVL,38,17,11,10,54,48,6,62,6
2008_2009,FUL,38,14,11,13,39,34,5,53,7
2008_2009,TOT,38,14,9,15,45,45,0,51,8
2008_2009,WHU,38,14,9,15,42,45,-3,51,9
2008_2009,MCI,38,15,5,18,58,50,8,50,10
2008_2009,WIG,38,12,9,17,34,45,-11,45,11
2008_2009,STK,38,12,9,17,38,55,-17,45,12
2008_2009,BOL,38,11,8,19,41,53,-12,41,13
2008_2009,POR,38,10,11,17,38,57,-19,41,14
2008_2009,BLB,38,10,11,17,40,60,-20,41,15
2008_2009,SUN,38,9,9,20,34,54,-20,36,16
2008_2009,HUL,38,8,11,19,39,64,-25,35,17
2008_2009,NEW,38,7,13,18,40,59,-19,34,18
2008_2009,MID,38,7,11,20,28,57,-29,32,19
2008_2009,WBA,38,8,8,22,36,67,-31,32,20
2007_2008,MUN,38,27,6,5,80,22,58,87,1
2007_2008,CHE,38,25,10,3,65,26,39,85,2
2007_2008,ARS,38,24,11,3,74,31,43,83,3
2007_2008,LIV,38,21,13,4,67,28,39,76,4
2007_2008,EVE,38,19,8,11,55,33,22,65,5
2007_2008,AVL,38,16,12,10,71,51,20,60,6
2007_2008,BLB,38,15,13,10,50,48,2,58,7
2007_2008,POR,38,16,9,13,48,40,8,57,8
2007_2008,MCI,38,15,10,13,45,53,-8,55,9
2007_2008,WHU,38,13,10,15,42,50,-8,49,10
2007_2008,TOT,38,11,13,14,66,61,5,46,11
2007_2008,NEW,38,11,10,17,45,65,-20,43,12
2007_2008,MID,38,10,12,16,43,53,-10,42,13
2007_2008,WIG,38,10,10,18,34,51,-17,40,14
2007_2008,SUN,38,11,6,21,36,59,-23,39,15
2007_2008,BOL,38,9,10,19,36,54,-18,37,16
2007_2008,FUL,38,8,12,18,38,60,-22,36,17
2007_2008,REA,38,10,6,22,41,66,-25,36,18
2007_2008,BIR,38,8,11,19,46,62,-16,35,19
2007_2008,DER,38,1,8,29,20,89,-69,11,20
2006_2007,MUN,38,28,5,5,83,27,56,89,1
2006_2007,CHE,38,24,11,3,64,24,40,83,2
2006_2007,MCI,38,11,9,18,29,44,-15,42,14
2006_2007,WHU,38,12,5,21,35,59,-24,41,15
2006_2007,FUL,38,8,15,15,38,60,-22,39,16
2006_2007,WIG,38,10,8,20,37,59,-22,38,17
2006_2007,SHU,38,10,8,20,32,55,-23,38,18
2006_2007,CHA,38,8,10,20,34,60,-26,34,19
2006_2007,WAT,38,5,13,20,29,59,-30,28,20
2006_2007,LIV,38,20,8,10,57,27,30,68,3
2006_2007,ARS,38,19,11,8,63,35,28,68,4
2006_2007,TOT,38,17,9,12,57,54,3,60,5
2006_2007,EVE,38,15,13,10,52,36,16,58,6
2006_2007,BOL,38,16,8,14,47,52,-5,56,7
2006_2007,REA,38,16,7,15,52,47,5,55,8
2006_2007,POR,38,14,12,12,45,42,3,54,9
2006_2007,BLB,38,15,7,16,52,54,-2,52,10
2006_2007,AVL,38,11,17,10,43,41,2,50,11
