club_code,club_name,club_given_name
ARS,Arsenal,Arsenal
AVL,Aston Villa,Aston Villa
BAR,Barnsley,Barnsley
BIR,Birmingham City,Birmingham
BLB,Blackburn Rovers,Blackburn
BLP,Blackpool,Blackpool
BOL,Bolton Wanderers,Bolton
BOU,Bournemouth,Bournemouth
BRA,Bradford City,Bradford
BRE,Brentford,Brentford
BHA,Brighton & Hove Albion,Brighton
BUR,Burnley,Burnley
CAR,Cardiff City,Cardiff
CHA,Charlton Athletic,Charlton
CHE,Chelsea,Chelsea
COV,Coventry City,Coventry
CRY,Crystal Palace,Crystal Palace
DER,Derby County,Derby
EVE,Everton,Everton
FUL,Fulham,Fulham
HUD,Huddersfield Town,Huddersfield
HUL,Hull City,Hull
IPS,Ipswich Town,Ipswich
LEE,Leeds United,Leeds
LEI,Leicester City,Leicester
LIV,Liverpool,Liverpool
LUT,Luton Town,Luton
MCI,Manchester City,Man City
MUN,Manchester United,Man United
MID,Middlesbrough,Middlesbrough
NEW,Newcastle United,Newcastle
NOR,Norwich City,Norwich
NFO,Nottingham Forest,Nott'm Forest
OLD,Oldham Athletic,Oldham
POR,Portsmouth,Portsmouth
QPR,Queens Park Rangers,QPR
REA,Reading,Reading
SHU,Sheffield United,Sheffield United
SHW,Sheffield Wednesday,Sheffield Weds
SOU,Southampton,Southampton
STK,Stoke City,Stoke
SUN,Sunderland,Sunderland
SWA,Swansea City,Swansea
SWI,Swindon Town,Swindon
TOT,Tottenham Hotspur,Tottenham
WAT,Watford,Watford
WBA,West Bromwich Albion,West Brom
WHU,West Ham United,West Ham
WIG,Wigan Athletic,Wigan
WIM,Wimbledon,Wimbledon
WOL,Wolverhampton Wanderers,Wolves
